"Age","Year","Country","RMI"
18,1962,"France",0.0257147200084593
19,1962,"France",-0.00918262890632616
20,1962,"France",0.0154578834282792
21,1962,"France",0.0244629510140539
22,1962,"France",0.0214979230582872
23,1962,"France",0.0337775846550383
24,1962,"France",0.0215030933069398
25,1962,"France",0.0275240208743857
26,1962,"France",0.0365304943132961
27,1962,"France",0.0369743405507498
28,1962,"France",0.0396767424806825
29,1962,"France",0.04
30,1962,"France",0.0377440615381187
31,1962,"France",0.038283654200573
32,1962,"France",0.0330381454650221
33,1962,"France",0.04
34,1962,"France",0.04
35,1962,"France",0.04
36,1962,"France",0.04
37,1962,"France",0.04
38,1962,"France",0.029239739762041
39,1962,"France",0.0324937715338811
40,1962,"France",0.0274254193545808
41,1962,"France",0.0241362603481919
42,1962,"France",0.0187891172709442
43,1962,"France",0.0224958409384667
44,1962,"France",0.0222285867449566
45,1962,"France",0.027931677973511
46,1962,"France",0.0118220364984838
47,1962,"France",0.0254761370112156
48,1962,"France",0.0282768252895026
49,1962,"France",0.0275896399494004
50,1962,"France",0.0302021103795043
51,1962,"France",0.0238898982836178
52,1962,"France",0.0332128716488485
53,1962,"France",0.0244303001666674
54,1962,"France",0.0273185128393682
55,1962,"France",0.0216942765937823
56,1962,"France",0.0254744003579819
57,1962,"France",0.0246137399090025
58,1962,"France",0.0243660056835671
59,1962,"France",0.0220762147215775
60,1962,"France",0.0252282775227337
61,1962,"France",0.022135575713975
62,1962,"France",0.0187023665179818
63,1962,"France",0.019420432869649
64,1962,"France",0.0200999567526814
65,1962,"France",0.0189777976062704
66,1962,"France",0.0188739399963991
67,1962,"France",0.0206854764910685
68,1962,"France",0.018757928042732
69,1962,"France",0.0208199558259702
70,1962,"France",0.0210950079347622
71,1962,"France",0.0215159633104446
72,1962,"France",0.0188568515717368
73,1962,"France",0.0206110406061977
74,1962,"France",0.0201044310946623
75,1962,"France",0.0190689021881527
76,1962,"France",0.0203424120048111
77,1962,"France",0.0181439346176947
78,1962,"France",0.0166987361399799
79,1962,"France",0.0176458379556695
80,1962,"France",0.0147485700482973
81,1962,"France",0.0152114486323401
82,1962,"France",0.0154016729592845
83,1962,"France",0.0125621980233783
84,1962,"France",0.0113480920330796
85,1962,"France",0.00876082370755793
86,1962,"France",0.0110913440694005
87,1962,"France",0.0111430425756437
88,1962,"France",0.0103051890158017
89,1962,"France",0.00694945222102282
90,1962,"France",0.00656561496439416
91,1962,"France",0.00616027895410162
92,1962,"France",0.0116220422941223
93,1962,"France",0.0106301936580542
94,1962,"France",0.00478613456841598
95,1962,"France",0.0130103672221537
96,1962,"France",0.00352362720783369
97,1962,"France",-0.00481667926437465
98,1962,"France",-0.0140324340293138
99,1962,"France",0.04
100,1962,"France",-0.04
101,1962,"France",-0.00884558681733513
102,1962,"France",-0.04
103,1962,"France",-0.04
104,1962,"France",-0.0193815081883694
105,1962,"France",-0.04
106,1962,"France",-0.04
107,1962,"France",-0.0355006401095312
108,1962,"France",-0.00997827788129062
109,1962,"France",0.00160645370551084
110,1962,"France",0.00143552606544231
0,1963,"France",0.04
1,1963,"France",0.04
2,1963,"France",0.04
3,1963,"France",0.0215050965038644
4,1963,"France",0.0339003599042209
5,1963,"France",0.0118017892989984
6,1963,"France",0.0315031149670132
7,1963,"France",0.0184229216193385
8,1963,"France",-0.00246999510663383
9,1963,"France",-0.000950831055978985
10,1963,"France",0.000381284477466526
11,1963,"France",0.04
12,1963,"France",0.0165606060585653
13,1963,"France",-0.000990223296921711
14,1963,"France",0.0221881449652373
15,1963,"France",0.0126773647233351
16,1963,"France",0.0184768651609041
17,1963,"France",0.0266037529505164
18,1963,"France",0.00612566326459201
19,1963,"France",-0.00195097498758913
20,1963,"France",0.0144936570829468
21,1963,"France",0.0325963139127533
22,1963,"France",0.00934230885416222
23,1963,"France",0.011143278083226
24,1963,"France",0.0390228896870303
25,1963,"France",0.0386880402074191
26,1963,"France",0.04
27,1963,"France",0.0353027073335021
28,1963,"France",0.0388124340197032
29,1963,"France",0.04
30,1963,"France",0.04
31,1963,"France",0.04
32,1963,"France",0.0276250672597158
33,1963,"France",0.0265854055174772
34,1963,"France",0.04
35,1963,"France",0.04
36,1963,"France",0.0346094022843841
37,1963,"France",0.0329344852605009
38,1963,"France",0.0313484906004473
39,1963,"France",0.0179406343560805
40,1963,"France",0.0261660738930655
41,1963,"France",0.0185416909416413
42,1963,"France",0.0253267442516206
43,1963,"France",0.0264569834108188
44,1963,"France",0.0256235675900634
45,1963,"France",0.0227967505477291
46,1963,"France",0.0123305188467145
47,1963,"France",0.0276021996431325
48,1963,"France",0.0210754406954466
49,1963,"France",0.0279295505335719
50,1963,"France",0.0218544715789497
51,1963,"France",0.0194062513210904
52,1963,"France",0.02140538899859
53,1963,"France",0.0264244496183426
54,1963,"France",0.0194912984503225
55,1963,"France",0.0213744080202782
56,1963,"France",0.0305452372633429
57,1963,"France",0.0205001454561193
58,1963,"France",0.0242662229639911
59,1963,"France",0.0230641655904234
60,1963,"France",0.0247633435630088
61,1963,"France",0.02079103534209
62,1963,"France",0.0231908780017291
63,1963,"France",0.0174062400948802
64,1963,"France",0.0230095798704685
65,1963,"France",0.0225709106867118
66,1963,"France",0.019080425290323
67,1963,"France",0.0203219338755035
68,1963,"France",0.0244241189338407
69,1963,"France",0.0164070014967339
70,1963,"France",0.0190130121953818
71,1963,"France",0.0189751029188883
72,1963,"France",0.0176084556428636
73,1963,"France",0.018296126437408
74,1963,"France",0.0208442429267688
75,1963,"France",0.0204430541232416
76,1963,"France",0.0215804309201488
77,1963,"France",0.018015194963639
78,1963,"France",0.0158206256098094
79,1963,"France",0.0154592930582012
80,1963,"France",0.0151571267246377
81,1963,"France",0.0124215775607581
82,1963,"France",0.0111534664699635
83,1963,"France",0.0130696447269203
84,1963,"France",0.00946830709040191
85,1963,"France",0.00971908321454099
86,1963,"France",0.0108620261966714
87,1963,"France",0.00802660766570176
88,1963,"France",0.00771153622808826
89,1963,"France",0.00650171154585394
90,1963,"France",0.00773484915259488
91,1963,"France",0.00408173845270113
92,1963,"France",0.00949248090874783
93,1963,"France",0.0053411438988104
94,1963,"France",0.0102845908707263
95,1963,"France",0.00741143393640323
96,1963,"France",0.0151867404140088
97,1963,"France",0.00316884331026155
98,1963,"France",0.00249217468774142
99,1963,"France",0.0163452924730756
100,1963,"France",-0.00905332065127157
101,1963,"France",-0.0375844960511096
102,1963,"France",-0.04
103,1963,"France",-0.04
104,1963,"France",-0.04
105,1963,"France",-0.04
106,1963,"France",-0.04
107,1963,"France",-0.04
108,1963,"France",-0.000451722430642221
109,1963,"France",0.00146548083589781
110,1963,"France",0.00130795636253428
0,1964,"France",0.04
1,1964,"France",0.04
2,1964,"France",0.04
3,1964,"France",0.0397088585361861
4,1964,"France",0.0323904554448783
5,1964,"France",0.0209707575023834
6,1964,"France",0.0193172448864062
7,1964,"France",0.0101968377026113
8,1964,"France",0.0016902711504066
9,1964,"France",-0.0118911927775907
10,1964,"France",-0.00884833566764654
11,1964,"France",0.0149199442214967
12,1964,"France",0.000675196261419475
13,1964,"France",0.00283114714848964
14,1964,"France",0.0127380206214959
15,1964,"France",-6.78634077254103e-05
16,1964,"France",0.0120125300796131
17,1964,"France",0.00308724108261134
18,1964,"France",-0.00922284212172461
19,1964,"France",0.000483429185675177
20,1964,"France",0.000891240038071917
21,1964,"France",0.00684545332755535
22,1964,"France",-0.00309060835060172
23,1964,"France",0.000468396890580336
24,1964,"France",0.0246128565516215
25,1964,"France",0.0304549073721284
26,1964,"France",0.0203776487486978
27,1964,"France",0.0315449770551391
28,1964,"France",0.0386142916636861
29,1964,"France",0.0246329393412589
30,1964,"France",0.023947123496241
31,1964,"France",0.0239950967945318
32,1964,"France",0.03240490417595
33,1964,"France",0.0274353495723695
34,1964,"France",0.0245219584946685
35,1964,"France",0.04
36,1964,"France",0.0212758045616581
37,1964,"France",0.026467643942529
38,1964,"France",0.0130945785625358
39,1964,"France",0.0286923667808167
40,1964,"France",0.0234706443957017
41,1964,"France",0.0227548857138463
42,1964,"France",0.0221933122403826
43,1964,"France",0.0109337959611827
44,1964,"France",0.0153647860649571
45,1964,"France",0.0143704811980672
46,1964,"France",0.0201314814889381
47,1964,"France",0.0139083560622881
48,1964,"France",0.0249667078973224
49,1964,"France",0.0137562167300346
50,1964,"France",0.0221095632111154
51,1964,"France",0.02246634978561
52,1964,"France",0.0185209752049757
53,1964,"France",0.0186126665835872
54,1964,"France",0.0294190686710151
55,1964,"France",0.0204676265769638
56,1964,"France",0.0235077641887679
57,1964,"France",0.0150588796976581
58,1964,"France",0.0154681173245767
59,1964,"France",0.0177363632361887
60,1964,"France",0.0162550472417245
61,1964,"France",0.0202191819704332
62,1964,"France",0.0173235118391551
63,1964,"France",0.0217649553121849
64,1964,"France",0.0210111793674106
65,1964,"France",0.0188476043950949
66,1964,"France",0.0211164449992853
67,1964,"France",0.0167729375887562
