measure,location,sex,age,metric,year,val,upper,lower
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,2014,71.7708301794447,74.07702251639316,69.0839834317587
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,2014,74.6572813630912,77.81072934345089,71.09457101194181
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,2014,72.6784424833816,75.00329290395409,70.04951984902146
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,2014,74.5361941200896,77.40980072952902,71.24028859138626
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,1994,68.49912640237217,70.62583247870083,66.04532106163778
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,1994,71.70038502925732,74.68162355693171,68.31147244105104
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,1994,66.34982760028907,68.33036287137836,64.10453814419293
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,1994,69.39174842813367,72.02770741046079,66.29169597563707
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,2008,70.75937568959122,73.0081344758095,68.13114858335632
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,2008,74.10888277762254,77.23414098538687,70.64540386020437
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,2008,71.097614234683,73.26876195620329,68.60611521731377
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,2008,73.32459398671038,76.11684199088512,70.07811885674025
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,1993,68.27787281029224,70.41381257522524,65.81722284243524
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,1993,71.43368053668644,74.4171994125492,68.08052232302053
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,1993,66.31098492530107,68.28263824631631,64.02293678803494
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,1993,69.14148006190992,71.73975731399408,66.05705447690318
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,2007,70.56166600858477,72.82584526736106,67.92973055755887
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,2007,73.99646904770043,77.13332650892144,70.4895866323354
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,2007,70.74376846961738,72.92945403121077,68.20365589179988
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,2007,73.17757320544956,75.9427523416529,69.95634539883038
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,2013,71.56187028733298,73.85319580063765,68.92230955821677
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,2013,74.545837468446,77.71257484734116,71.0217702378733
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,2013,72.39621460085912,74.63919406785504,69.73759677947395
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,2013,74.36181817879842,77.2032664829186,71.06294981270631
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,2002,69.75593815207388,72.01886576159687,67.15214006653068
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,2002,73.42171792519605,76.5057506484758,69.98956938519551
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,2002,69.33916957203357,71.45374175397552,66.85440136008377
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,2002,71.65624199559105,74.38061703311291,68.4894389513774
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,2001,69.53166833445624,71.77192189103144,66.91961021695526
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,2001,73.2073527634922,76.27905012884518,69.74193232125201
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,2001,69.06641931061337,71.18375458404742,66.5415750882497
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,2001,71.43282024169062,74.13636429908394,68.2570991798357
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,1995,68.50529943582407,70.63635495322657,66.0364324423999
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,1995,71.80418577669214,74.78091325100212,68.42655810629464
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,1995,66.52488949014109,68.54733080182562,64.21522900510513
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,1995,69.52590907544132,72.15955752809937,66.47052462776135
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,2009,70.93922213416803,73.17517181636994,68.33150784988648
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,2009,74.26043253880208,77.3929508250484,70.76818086145066
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,2009,71.45588790924513,73.65390900494049,68.90837128840994
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,2009,73.63541350095458,76.43470691956233,70.38947653950142
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,1996,68.84586221266416,71.01267073109334,66.34442519254085
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,1996,72.1592430084722,75.16629048592408,68.75390935066693
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,1996,66.7754450255766,68.81209810065678,64.44319437389761
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,1996,69.79470736583997,72.43851749460245,66.70289194341812
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,2016,72.10231313684952,74.4549171227856,69.39987548653373
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,2016,74.87020421938723,78.09753187486227,71.30415265958318
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,2016,73.20278683953414,75.4690441835718,70.50218641180679
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,2016,75.0200536883801,77.92414337878431,71.70594174132303
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,2015,71.96856406135527,74.31197941567177,69.2726395073113
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,2015,74.8145460078886,78.00246804533906,71.25288951356494
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,2015,72.95162467686819,75.26092998328508,70.29544030788924
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,2015,74.73489261263944,77.62897338651959,71.43805235534091
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,2003,69.8382310800536,72.09735399018989,67.20538831727153
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,2003,73.56248778277048,76.6613200911253,70.09024024534996
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,2003,69.6006085167389,71.74494351797108,67.12358881461954
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,2003,71.89791014993206,74.6175348100505,68.81701867729606
