"","location_id","location_name","sex_id","sex_name","age_group_id","age_group_name","year_id","measure_id","measure_name","metric_id","metric_name","val","upper","lower"
"27986",69,"Singapore",1,"male",28,"<1 year",1994,26,"Life expectancy",5,"Years",74.1687591176464,74.3362706197836,74.006621540191
"27988",69,"Singapore",2,"female",28,"<1 year",1994,26,"Life expectancy",5,"Years",79.8079807202926,79.962453956303,79.6527821853302
"27990",69,"Singapore",3,"both",28,"<1 year",1994,26,"Life expectancy",5,"Years",76.962961747461,77.0776086647944,76.8390008153425
"27992",69,"Singapore",1,"male",28,"<1 year",1995,26,"Life expectancy",5,"Years",74.3750166859084,74.5413964236215,74.2224441259014
"27994",69,"Singapore",2,"female",28,"<1 year",1995,26,"Life expectancy",5,"Years",79.9381828333307,80.0926104962533,79.7782212775973
"27996",69,"Singapore",3,"both",28,"<1 year",1995,26,"Life expectancy",5,"Years",77.1346018801258,77.2453513949294,77.0180303930327
"27998",69,"Singapore",1,"male",28,"<1 year",1996,26,"Life expectancy",5,"Years",74.6857351857349,74.8381811115601,74.5299514692386
"28000",69,"Singapore",2,"female",28,"<1 year",1996,26,"Life expectancy",5,"Years",80.2505915198377,80.3991732314929,80.0995445451276
"28002",69,"Singapore",3,"both",28,"<1 year",1996,26,"Life expectancy",5,"Years",77.4292311572563,77.5409551334105,77.3114900062571
"28004",69,"Singapore",1,"male",28,"<1 year",1997,26,"Life expectancy",5,"Years",75.2670619457839,75.4243555687962,75.1132157410365
"28006",69,"Singapore",2,"female",28,"<1 year",1997,26,"Life expectancy",5,"Years",80.5443322221211,80.6947371445988,80.3878987488608
"28008",69,"Singapore",3,"both",28,"<1 year",1997,26,"Life expectancy",5,"Years",77.8750108590475,77.9854393398159,77.7666749243095
"28010",69,"Singapore",1,"male",28,"<1 year",1998,26,"Life expectancy",5,"Years",75.6535656537074,75.7922473557856,75.5060381354088
"28012",69,"Singapore",2,"female",28,"<1 year",1998,26,"Life expectancy",5,"Years",80.9633515836785,81.1237830491428,80.8137679855829
"28014",69,"Singapore",3,"both",28,"<1 year",1998,26,"Life expectancy",5,"Years",78.277853168891,78.3885037810489,78.1650014029786
"28016",69,"Singapore",1,"male",28,"<1 year",1999,26,"Life expectancy",5,"Years",76.3784543823203,76.5277288837667,76.2190625350586
"28018",69,"Singapore",2,"female",28,"<1 year",1999,26,"Life expectancy",5,"Years",81.3198752872052,81.4706274501185,81.1740833587646
"28020",69,"Singapore",3,"both",28,"<1 year",1999,26,"Life expectancy",5,"Years",78.8508908731523,78.9586300113873,78.7370470600761
"28022",69,"Singapore",1,"male",28,"<1 year",2000,26,"Life expectancy",5,"Years",76.9627917591579,77.1103351863798,76.8074746807849
"28024",69,"Singapore",2,"female",28,"<1 year",2000,26,"Life expectancy",5,"Years",81.7914624205821,81.9395445569729,81.6334679601198
"28026",69,"Singapore",3,"both",28,"<1 year",2000,26,"Life expectancy",5,"Years",79.385385925067,79.5009516466065,79.263254555334
"28028",69,"Singapore",1,"male",28,"<1 year",2001,26,"Life expectancy",5,"Years",77.5096301010668,77.6594675412303,77.3631985710027
"28030",69,"Singapore",2,"female",28,"<1 year",2001,26,"Life expectancy",5,"Years",82.14130156365,82.2867279059701,81.9886126285763
"28032",69,"Singapore",3,"both",28,"<1 year",2001,26,"Life expectancy",5,"Years",79.8440408888473,79.9670658046344,79.7260137229881
"28034",69,"Singapore",1,"male",28,"<1 year",2002,26,"Life expectancy",5,"Years",77.807985409232,77.9577926964827,77.6612484220763
"28036",69,"Singapore",2,"female",28,"<1 year",2002,26,"Life expectancy",5,"Years",82.3612915335605,82.5222719247202,82.2077611720461
"28038",69,"Singapore",3,"both",28,"<1 year",2002,26,"Life expectancy",5,"Years",80.1124889417892,80.2407882736198,79.993569754709
"28040",69,"Singapore",1,"male",28,"<1 year",2003,26,"Life expectancy",5,"Years",78.0773147895113,78.2345531113068,77.9178874891581
"28042",69,"Singapore",2,"female",28,"<1 year",2003,26,"Life expectancy",5,"Years",82.5945961071359,82.7468934329733,82.4406944257097
"28044",69,"Singapore",3,"both",28,"<1 year",2003,26,"Life expectancy",5,"Years",80.3743699715007,80.4874895662701,80.2623792287394
"28046",69,"Singapore",1,"male",28,"<1 year",2004,26,"Life expectancy",5,"Years",78.5346905599618,78.6783961734251,78.3927967462803
"28048",69,"Singapore",2,"female",28,"<1 year",2004,26,"Life expectancy",5,"Years",82.6690568499819,82.8224699575823,82.520145830968
"28050",69,"Singapore",3,"both",28,"<1 year",2004,26,"Life expectancy",5,"Years",80.6554506533592,80.7588470446262,80.5509535016503
"28052",69,"Singapore",1,"male",28,"<1 year",2005,26,"Life expectancy",5,"Years",78.8681123192983,79.0146708770568,78.7166869435971
"28054",69,"Singapore",2,"female",28,"<1 year",2005,26,"Life expectancy",5,"Years",83.6303392155817,83.7870085857248,83.4804110178205
"28056",69,"Singapore",3,"both",28,"<1 year",2005,26,"Life expectancy",5,"Years",81.3051120839771,81.4160279379765,81.1966569855976
"28058",69,"Singapore",1,"male",28,"<1 year",2006,26,"Life expectancy",5,"Years",79.2300450862291,79.383814724435,79.0892141768697
"28060",69,"Singapore",2,"female",28,"<1 year",2006,26,"Life expectancy",5,"Years",83.8007752950562,83.9553836417365,83.6500382830325
"28062",69,"Singapore",3,"both",28,"<1 year",2006,26,"Life expectancy",5,"Years",81.5809229477814,81.6902642109847,81.4685836556728
"28064",69,"Singapore",1,"male",28,"<1 year",2007,26,"Life expectancy",5,"Years",79.3387540556676,79.4862977032413,79.1940404094798
"28066",69,"Singapore",2,"female",28,"<1 year",2007,26,"Life expectancy",5,"Years",84.1198790151974,84.270181532452,83.9734079906281
"28068",69,"Singapore",3,"both",28,"<1 year",2007,26,"Life expectancy",5,"Years",81.7852157558503,81.8997990477524,81.671430968806
"28070",69,"Singapore",1,"male",28,"<1 year",2008,26,"Life expectancy",5,"Years",79.7519937021786,79.9037234096623,79.6026076586869
"28072",69,"Singapore",2,"female",28,"<1 year",2008,26,"Life expectancy",5,"Years",84.2907992564233,84.4425496767121,84.1466470248582
"28074",69,"Singapore",3,"both",28,"<1 year",2008,26,"Life expectancy",5,"Years",82.0725091301305,82.1810894155409,81.9590000451797
"28076",69,"Singapore",1,"male",28,"<1 year",2009,26,"Life expectancy",5,"Years",80.1693070522825,80.3172611241929,80.0136036694074
"28078",69,"Singapore",2,"female",28,"<1 year",2009,26,"Life expectancy",5,"Years",84.6848557740201,84.8300349420169,84.535426980707
"28080",69,"Singapore",3,"both",28,"<1 year",2009,26,"Life expectancy",5,"Years",82.4842370213288,82.5941263627188,82.3656834818328
"28082",69,"Singapore",1,"male",28,"<1 year",2010,26,"Life expectancy",5,"Years",80.469121173441,80.6149399167871,80.3242392461375
"28084",69,"Singapore",2,"female",28,"<1 year",2010,26,"Life expectancy",5,"Years",84.9211392865284,85.0731018245865,84.7634526674536
"28086",69,"Singapore",3,"both",28,"<1 year",2010,26,"Life expectancy",5,"Years",82.7583819357306,82.867005483918,82.6510740457546
"28088",69,"Singapore",1,"male",28,"<1 year",2011,26,"Life expectancy",5,"Years",80.7891666746596,80.9284425566766,80.6497052139239
"28090",69,"Singapore",2,"female",28,"<1 year",2011,26,"Life expectancy",5,"Years",85.2736330071756,85.4276889720442,85.1216002939787
"28092",69,"Singapore",3,"both",28,"<1 year",2011,26,"Life expectancy",5,"Years",83.0952630725852,83.2041513372345,82.9912354933009
"28094",69,"Singapore",1,"male",28,"<1 year",2012,26,"Life expectancy",5,"Years",81.0920789081381,81.2308512071914,80.9472088342715
"28096",69,"Singapore",2,"female",28,"<1 year",2012,26,"Life expectancy",5,"Years",85.2980381007334,85.4512020860196,85.1510267424252
"28098",69,"Singapore",3,"both",28,"<1 year",2012,26,"Life expectancy",5,"Years",83.257791099145,83.3672244620299,83.1447995258359
"28100",69,"Singapore",1,"male",28,"<1 year",2013,26,"Life expectancy",5,"Years",81.3508656067926,81.4953504026285,81.2059200016501
"28102",69,"Singapore",2,"female",28,"<1 year",2013,26,"Life expectancy",5,"Years",85.6291433357967,85.7715305011358,85.4803350628176
"28104",69,"Singapore",3,"both",28,"<1 year",2013,26,"Life expectancy",5,"Years",83.5426421710691,83.6612961707784,83.4207939895977
"28106",69,"Singapore",1,"male",28,"<1 year",2014,26,"Life expectancy",5,"Years",81.7125505007065,81.8687214162587,81.5682278830724
"28108",69,"Singapore",2,"female",28,"<1 year",2014,26,"Life expectancy",5,"Years",85.8613503680854,86.0015330394758,85.7182684040624
"28110",69,"Singapore",3,"both",28,"<1 year",2014,26,"Life expectancy",5,"Years",83.8383950641365,83.9623241345533,83.7126544918035
"28112",69,"Singapore",1,"male",28,"<1 year",2015,26,"Life expectancy",5,"Years",82.0531679615951,82.2021730695115,81.9050629264585
"28114",69,"Singapore",2,"female",28,"<1 year",2015,26,"Life expectancy",5,"Years",86.1190284381095,86.2603127210788,85.9755874500651
"28116",69,"Singapore",3,"both",28,"<1 year",2015,26,"Life expectancy",5,"Years",84.1355704549044,84.2680306572397,84.002807674193
"28118",69,"Singapore",1,"male",28,"<1 year",2016,26,"Life expectancy",5,"Years",82.3288484014033,82.4830633042912,82.1767292000508
"28120",69,"Singapore",2,"female",28,"<1 year",2016,26,"Life expectancy",5,"Years",86.403764419264,86.5608635834727,86.2413286806735
"28122",69,"Singapore",3,"both",28,"<1 year",2016,26,"Life expectancy",5,"Years",84.4145187230627,84.5473092932302,84.2814641202103
"28124",69,"Singapore",1,"male",28,"<1 year",2017,26,"Life expectancy",5,"Years",82.599502514523,82.7635806202696,82.4170504684144
"28126",69,"Singapore",2,"female",28,"<1 year",2017,26,"Life expectancy",5,"Years",86.605686970685,86.7765539362697,86.4384980116346
"28128",69,"Singapore",3,"both",28,"<1 year",2017,26,"Life expectancy",5,"Years",84.6595398104513,84.8076455269862,84.5011526046341
"28130",69,"Singapore",1,"male",28,"<1 year",2018,26,"Life expectancy",5,"Years",82.6352082282703,82.8469100136584,82.4168002516949
"28132",69,"Singapore",2,"female",28,"<1 year",2018,26,"Life expectancy",5,"Years",86.6701314050152,86.8645247738213,86.4661654558922
"28134",69,"Singapore",3,"both",28,"<1 year",2018,26,"Life expectancy",5,"Years",84.705269028963,84.8965716934738,84.5013194361982
"28136",69,"Singapore",1,"male",28,"<1 year",2019,26,"Life expectancy",5,"Years",82.9256511543834,83.1742995726311,82.6617427001692
"28138",69,"Singapore",2,"female",28,"<1 year",2019,26,"Life expectancy",5,"Years",86.6876751483408,86.9071439622336,86.4548046752968
"28140",69,"Singapore",3,"both",28,"<1 year",2019,26,"Life expectancy",5,"Years",84.8530456362889,85.091909650835,84.5986681339201
"33842",83,"Iceland",1,"male",28,"<1 year",1990,26,"Life expectancy",5,"Years",75.7610800665782,76.2375834625028,75.2603289985582
"33844",83,"Iceland",2,"female",28,"<1 year",1990,26,"Life expectancy",5,"Years",80.5016488526045,80.9895336655036,79.9973181335961
"33846",83,"Iceland",3,"both",28,"<1 year",1990,26,"Life expectancy",5,"Years",78.1100776581471,78.501741972945,77.7261006293186
"33848",83,"Iceland",1,"male",28,"<1 year",1991,26,"Life expectancy",5,"Years",75.9658349343651,76.4590330195918,75.4789137547498
"33850",83,"Iceland",2,"female",28,"<1 year",1991,26,"Life expectancy",5,"Years",80.5571749451935,81.0442914743719,80.1031616505207
"33852",83,"Iceland",3,"both",28,"<1 year",1991,26,"Life expectancy",5,"Years",78.2434205632208,78.6364417359764,77.8606350634069
"33854",83,"Iceland",1,"male",28,"<1 year",1992,26,"Life expectancy",5,"Years",76.2913444800592,76.7883237269754,75.8225794726532
"33856",83,"Iceland",2,"female",28,"<1 year",1992,26,"Life expectancy",5,"Years",80.6217938994739,81.143792311716,80.1075436664786
"33858",83,"Iceland",3,"both",28,"<1 year",1992,26,"Life expectancy",5,"Years",78.4472893689858,78.8380255461484,78.0264858706183
"33860",83,"Iceland",1,"male",28,"<1 year",1993,26,"Life expectancy",5,"Years",76.5548647174601,77.0352199791415,76.0826242568863
"33862",83,"Iceland",2,"female",28,"<1 year",1993,26,"Life expectancy",5,"Years",80.7114329095405,81.2036829526786,80.1886652890223
"33864",83,"Iceland",3,"both",28,"<1 year",1993,26,"Life expectancy",5,"Years",78.6343425368164,79.0386379346639,78.2152543563792
"33866",83,"Iceland",1,"male",28,"<1 year",1994,26,"Life expectancy",5,"Years",76.6327636218832,77.102010760849,76.1619564924511
"33868",83,"Iceland",2,"female",28,"<1 year",1994,26,"Life expectancy",5,"Years",80.8223285303833,81.3208088084431,80.3142828286735
"33870",83,"Iceland",3,"both",28,"<1 year",1994,26,"Life expectancy",5,"Years",78.7305381554186,79.1350343050128,78.3051672862516
"33872",83,"Iceland",1,"male",28,"<1 year",1995,26,"Life expectancy",5,"Years",76.2418143365746,76.7100718490878,75.797258017804
"33874",83,"Iceland",2,"female",28,"<1 year",1995,26,"Life expectancy",5,"Years",80.5428534451131,81.0053784177823,80.0684242500627
"33876",83,"Iceland",3,"both",28,"<1 year",1995,26,"Life expectancy",5,"Years",78.384000554696,78.773752547506,77.9914065665353
"33878",83,"Iceland",1,"male",28,"<1 year",1996,26,"Life expectancy",5,"Years",76.8086546764355,77.31399460992,76.3394960670155
"33880",83,"Iceland",2,"female",28,"<1 year",1996,26,"Life expectancy",5,"Years",81.134166954364,81.6330210337655,80.6636593718769
"33882",83,"Iceland",3,"both",28,"<1 year",1996,26,"Life expectancy",5,"Years",78.9694739418643,79.389740248819,78.5591914069071
"33884",83,"Iceland",1,"male",28,"<1 year",1997,26,"Life expectancy",5,"Years",77.1210120859873,77.5924118924458,76.6414866049617
"33886",83,"Iceland",2,"female",28,"<1 year",1997,26,"Life expectancy",5,"Years",81.3462734977427,81.8655283263985,80.8784217253362
"33888",83,"Iceland",3,"both",28,"<1 year",1997,26,"Life expectancy",5,"Years",79.237712993687,79.64606746953,78.8541711936267
"33890",83,"Iceland",1,"male",28,"<1 year",1998,26,"Life expectancy",5,"Years",77.4261459621829,77.8983451517935,76.9733074230068
